id,email,first_name,last_name,full_name,phone_number,role,created_at,updated_at
00000000-0000-0000-0000-000000000001,admin@mbetadera.com,Admin,User,Admin User,+254700000001,admin,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
00000000-0000-0000-0000-000000000002,staff1@mbetadera.com,Staff,One,Staff One,+254700000005,staff,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
00000000-0000-0000-0000-000000000003,staff2@mbetadera.com,Staff,Two,Staff Two,+254700000006,staff,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
00000000-0000-0000-0000-000000000004,courier1@mbetadera.com,Courier,One,Courier One,+254700000002,courier,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
00000000-0000-0000-0000-000000000005,courier2@mbetadera.com,Courier,Two,Courier Two,+254700000003,courier,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
00000000-0000-0000-0000-000000000006,courier3@mbetadera.com,Courier,Three,Courier Three,+254700000004,courier,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
30b463af-1e04-439a-acd8-4082e1e03461,customer9@mbetadera.com,Customer,Nine,Customer Nine,+254700000015,customer,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
355ae2e2-10a8-4154-b915-9b567810dd8e,customer3@mbetadera.com,Customer,Three,Customer Three,+254700000009,customer,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
63d01adb-4254-4088-90a6-bb49fe657222,customer2@mbetadera.com,Customer,Two,Customer Two,+254700000008,customer,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
6f14efc3-5111-4d64-82c5-ccd0c7132058,customer5@mbetadera.com,Customer,Five,Customer Five,+254700000011,customer,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
822c70cd-8812-4ec7-bb9d-422fb1b218e7,customer7@mbetadera.com,Customer,Seven,Customer Seven,+254700000013,customer,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
dd86a0af-eaee-46e6-8515-3215e2fa9cfa,customer10@mbetadera.com,Customer,Ten,Customer Ten,+254700000016,customer,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
de95b965-e392-447e-9c96-3ec259622ed4,customer8@mbetadera.com,Customer,Eight,Customer Eight,+254700000014,customer,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
e1b487a2-0b51-4ba8-b7e1-51ba62b037d5,customer6@mbetadera.com,Customer,Six,Customer Six,+254700000012,customer,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
f22e1f7a-d20b-4eb4-8339-00d8ef22b0b3,customer1@mbetadera.com,Customer,One,Customer One,+254700000007,customer,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
fed9fd70-99b7-4052-8acc-b09edf132c44,customer4@mbetadera.com,Customer,Four,Customer Four,+254700000010,customer,2025-04-18 01:32:46.731666+00,2025-04-18 01:32:46.731666+00
